"Ticker","Company","Price","P/E","Forward P/E","P/S","Current Ratio","Return on Equity","Return on Invested Capital","Gross Margin","Profit Margin","EPS Growth This Year","EPS Growth Next Year","Quick Ratio","IPO Date"
"UI","Ubiquiti Inc",599.35,37.80,30.61,11.08,2.93,91.09%,63.79%,46.16%,29.33%,11.06%,10.53%,1.57,10/14/2011
"UPWK","Upwork Inc",9.02,11.79,6.61,1.43,1.42,16.70%,16.28%,77.24%,12.93%,-1.44%,-1.81%,1.42,10/3/2018
"USLM","United States Lime & Minerals Inc",119.96,25.66,21.05,9.13,27.54,21.35%,19.27%,48.42%,35.66%,7.92%,13.10%,25.78,3/17/1980
"VCTR","Victory Capital Holdings Inc",118.31,21.68,13.33,4.63,2.07,19.04%,13.61%,77.38%,22.38%,24.55%,11.73%,2.07,2/8/2018
"VEEV","Veeva Systems Inc",276.69,45.52,27.08,12.95,5.46,14.42%,13.41%,74.83%,29.34%,13.86%,10.76%,5.46,10/16/2013
"VLTO","Veralto Corp",98.56,24.84,20.61,4.22,1.78,34.37%,17.11%,59.34%,17.35%,12.35%,9.12%,1.61,9/27/2023
"VOXR","Vox Royalty Corp",5.57,8.19,34.10,11.60,7.50,49.39%,31.54%,65.68%,144.32%,3650.00%,-56.44%,7.50,7/28/2020
"VRSK","Verisk Analytics Inc",191.77,29.47,22.07,7.96,1.01,444.05%,28.15%,59.78%,28.24%,7.71%,12.67%,1.01,10/7/2009
"VRTX","Vertex Pharmaceuticals Inc",541.69,31.51,25.31,10.81,3.19,23.54%,19.82%,86.12%,34.69%,1.81%,14.26%,2.74,7/24/1991
"WEYS","Weyco Group Inc",45.39,12.46,,1.55,7.55,13.81%,13.34%,49.08%,12.39%,,,5.68,7/2/1962
"WSE","Wise Group Plc",13.04,27.01,19.26,6.37,1.08,28.81%,21.79%,71.48%,20.56%,20.41%,16.11%,1.08,7/8/2021
"WTS","Watts Water Technologies Inc",366.34,31.98,26.11,4.57,2.66,18.81%,16.71%,48.79%,14.34%,21.14%,9.48%,1.60,8/21/1986
"WTW","Willis Towers Watson Public Limited Co",343.75,21.21,15.01,3.16,1.10,19.83%,11.24%,81.24%,15.49%,16.12%,15.50%,1.10,6/12/2001
"XPEL","XPEL Inc",49.76,25.16,17.50,2.70,2.61,19.48%,15.08%,42.90%,10.77%,18.92%,29.24%,1.14,10/19/2006
"YALA","Yalla Group Limited ADR",5.51,7.16,7.06,2.11,10.30,17.09%,15.92%,67.75%,40.78%,-4.82%,-1.27%,10.30,9/30/2020
"ZJK","ZJK Industrial Co Ltd",2.16,13.46,,2.48,1.85,27.71%,21.98%,43.67%,18.15%,,,1.47,10/1/2024
"ZM","Zoom Communications Inc",98.43,9.12,15.49,5.75,3.76,32.14%,28.71%,77.30%,65.19%,3.71%,3.52%,3.76,4/18/2019
"ZTS","Zoetis Inc",77.34,12.72,11.97,3.36,3.08,64.39%,21.12%,70.22%,27.49%,-2.45%,3.36%,1.84,2/1/2013
