"Ticker","Company","Price","P/E","Forward P/E","P/S","Current Ratio","Return on Equity","Return on Invested Capital","Gross Margin","Profit Margin","EPS Growth This Year","EPS Growth Next Year","Quick Ratio","IPO Date"
"HRB","H&R Block Inc",52.48,9.17,7.60,1.64,1.13,707.45%,36.53%,44.33%,18.43%,15.74%,12.37%,1.13,10/13/1969
"HRMY","Harmony Biosciences Holdings Inc",39.21,12.71,9.17,2.38,3.48,20.46%,15.93%,72.94%,18.88%,45.48%,8.52%,3.45,8/19/2020
"HTHT","H World Group Limited ADR",47.82,21.61,15.78,3.86,1.21,38.20%,11.16%,40.86%,18.93%,15.69%,13.35%,1.20,3/26/2010
"IAG","Iamgold Corp",20.59,10.43,8.63,3.19,1.71,29.53%,23.56%,49.33%,31.40%,73.28%,11.95%,1.05,12/2/2002
"IBKR","Interactive Brokers Group Inc",95.84,38.16,30.16,3.84,1.05,20.99%,18.68%,95.31%,9.97%,23.91%,17.09%,1.05,5/4/2007
"IDCC","Interdigital Inc",335.15,38.67,36.22,10.97,1.74,26.40%,24.66%,78.66%,38.32%,-23.11%,1.98%,1.74,11/12/1981
"IDR","Idaho Strategic Resources Inc",32.33,22.70,23.43,10.06,12.17,26.36%,18.37%,50.11%,44.00%,20.18%,0.73%,11.66,12/9/1994
"ILMN","Illumina Inc",215.59,40.18,35.51,7.24,1.80,32.38%,17.25%,66.81%,18.35%,10.50%,13.53%,1.40,7/28/2000
"INCY","Incyte Corp",124.37,15.85,14.56,4.33,4.59,30.67%,25.30%,91.42%,27.71%,-44.67%,127.05%,4.51,11/4/1993
"INSP","Inspire Medical Systems Inc",61.44,13.34,41.79,1.98,8.55,17.96%,15.80%,86.13%,15.03%,-50.67%,23.15%,6.16,5/3/2018
"INSW","International Seaways Inc",98.81,6.31,13.89,3.89,5.94,37.41%,27.08%,59.53%,61.86%,187.00%,-54.26%,5.76,11/16/2016
"INTU","Intuit Inc",358.06,21.70,13.11,4.57,1.51,23.60%,17.51%,81.60%,21.29%,-0.37%,12.94%,1.45,3/12/1993
"IPAR","Interparfums Inc",117.78,22.52,23.06,2.51,3.31,19.62%,17.12%,63.82%,11.17%,-6.81%,4.61%,2.00,2/4/1988
"JKHY","Jack Henry & Associates Inc",169.73,24.34,21.14,4.74,1.03,24.04%,23.71%,43.65%,19.76%,5.24%,9.32%,1.03,11/20/1985
"KARO","Karooooo Ltd",67.20,34.47,,6.11,1.02,29.19%,23.63%,67.96%,17.74%,15.67%,,1.01,4/1/2021
"KGC","Kinross Gold Corp",31.27,11.86,10.29,4.38,2.89,36.95%,30.59%,53.64%,37.52%,51.24%,9.16%,1.95,11/1/1982
"KNSA","Kiniksa Pharmaceuticals International Plc",78.08,79.39,38.06,7.25,3.90,14.04%,12.24%,54.45%,9.59%,85.70%,47.30%,3.49,5/24/2018
"KO","Coca-Cola Co",89.66,27.01,25.38,7.63,1.30,44.23%,19.57%,61.95%,28.31%,10.18%,6.85%,1.12,1/26/1950
"KOPN","Kopin Corp",4.48,93.33,896.00,19.09,2.18,18.55%,11.35%,41.93%,18.05%,-300.00%,125.00%,2.05,4/15/1992
"KRKR","36Kr Holdings Inc ADR",3.15,1.46,,0.15,1.40,24.11%,20.02%,63.09%,12.00%,,,1.40,11/8/2019
"KRT","Karat Packaging Inc",49.11,19.68,21.79,1.98,2.25,31.15%,23.37%,39.78%,10.18%,66.25%,-15.82%,1.25,4/15/2021
"KRYS","Krystal Biotech Inc",351.46,44.05,37.28,23.62,8.32,20.12%,17.67%,93.31%,54.82%,11.37%,23.77%,7.96,9/20/2017
"LKFT","Lakefront Biotherapeutics NV ADR",28.88,2.74,,1.64,32.82,20.22%,18.56%,97.45%,60.14%,-159.37%,15.72%,32.70,7/7/2008
"LNSR","LENSAR Inc",8.30,,130.71,1.69,2.39,159.72%,51.23%,46.82%,25.74%,102.29%,-3.20%,1.13,10/2/2020
"LOPE","Grand Canyon Education Inc",151.19,18.26,13.35,3.45,2.82,30.98%,29.56%,52.53%,19.63%,12.62%,10.74%,2.82,11/20/2008
"LPG","Dorian LPG Ltd",49.78,6.61,12.36,3.64,3.26,28.34%,19.16%,60.50%,55.00%,77.19%,-50.26%,3.24,5/8/2014
"LULU","Lululemon Athletica Inc",120.81,9.76,10.80,1.28,2.23,32.03%,22.10%,55.63%,13.03%,-18.21%,3.13%,1.29,7/27/2007
"MA","Mastercard Incorporated",595.30,32.75,25.78,14.84,1.06,241.49%,58.49%,96.60%,46.27%,17.29%,15.73%,1.06,5/25/2006
"MAKO","Mako Mining Corp",10.19,17.37,,4.27,3.11,36.63%,24.00%,47.58%,25.11%,,,2.35,9/8/2009
"MAT","Mattel Inc",15.14,11.15,9.56,0.79,1.90,20.50%,9.16%,47.13%,7.79%,-7.37%,21.29%,1.26,8/12/1963
"MCO","Moody's Corp",514.95,32.65,27.20,10.93,1.15,80.15%,28.28%,68.82%,34.25%,13.40%,11.74%,1.15,6/12/1969
"MDRR","Medalist Diversified Inc",12.01,3.13,,2.83,1.77,41.05%,23.10%,47.61%,80.24%,,,1.77,11/28/2018
"MGNI","Magnite Inc",23.70,21.70,17.62,4.58,1.03,19.58%,12.59%,64.64%,22.49%,30.46%,18.50%,1.03,4/2/2014
"MGRT","Mega Fortune Co Ltd",99.50,5958.08,,963.46,4.88,21.09%,11.19%,50.62%,16.13%,,,4.88,7/16/2025
"MGTX","MeiraGTx Holdings plc",13.82,19.58,,3.34,3.76,72.28%,24.26%,94.90%,19.87%,122.03%,-647.64%,3.76,6/8/2018
"MGY","Magnolia Oil & Gas Corp",26.25,11.50,8.61,4.20,1.58,20.54%,16.53%,50.85%,28.37%,64.58%,5.49%,1.58,6/29/2017
"MKTX","MarketAxess Holdings Inc",162.72,19.18,18.79,6.57,1.71,23.34%,22.62%,79.67%,35.15%,7.49%,9.03%,1.71,11/5/2004
"MNDO","Mind C.T.I Ltd",1.03,6.46,,1.08,4.66,14.38%,13.31%,54.40%,16.87%,,,4.66,8/8/2000
"MNDY","Monday.Com Ltd",100.71,42.93,15.07,3.12,1.46,13.39%,14.64%,88.74%,8.87%,24.22%,22.27%,1.46,6/10/2021
"MNTN","MNTN Inc",13.23,17.61,11.48,3.16,4.86,19.68%,16.87%,79.91%,18.00%,722.77%,42.32%,4.86,5/22/2025
"MORN","Morningstar Inc",217.65,20.63,15.62,3.18,1.02,31.96%,14.70%,54.47%,16.43%,24.91%,13.17%,1.02,5/3/2005
"MRX","Marex Group Ltd",72.84,13.58,10.78,1.19,1.13,26.20%,9.02%,75.28%,9.40%,51.16%,11.99%,1.11,4/25/2024
"MSA","MSA Safety Inc",190.34,23.67,18.97,3.77,3.24,23.66%,15.41%,48.33%,16.13%,15.55%,9.49%,2.02,3/17/1980
"MSB","Mesabi Trust",23.97,27.77,,20.91,6.12,59.68%,61.75%,75.32%,75.32%,,,6.12,7/28/1961
"MSFT","Microsoft Corp",513.53,28.62,21.87,11.49,1.23,34.04%,24.22%,67.94%,40.31%,14.14%,19.04%,1.22,3/13/1986
"NAGE","Niagen Bioscience Inc",3.29,17.48,21.23,2.02,6.50,21.80%,19.05%,64.24%,12.39%,-27.90%,7.46%,5.13,6/24/2008
"NDAQ","Nasdaq Inc",99.31,28.94,21.25,6.38,1.01,16.54%,9.39%,57.02%,22.60%,18.72%,13.12%,1.01,7/1/2002
"NDSN","Nordson Corp",324.59,32.84,25.11,6.07,1.82,17.76%,11.42%,55.29%,18.63%,16.14%,8.67%,1.18,3/18/1980
"NEM","Newmont Corp",127.98,16.16,11.99,5.33,2.55,25.53%,21.12%,56.40%,33.98%,37.67%,12.50%,2.01,1/27/1940
"NEON","Neonode Inc",0.90,1.85,,7.37,10.86,46.80%,37.64%,80.45%,397.84%,,,10.86,11/1/1982
"NEPH","Nephros Inc",4.55,29.07,17.50,2.38,4.07,16.10%,13.97%,60.66%,8.38%,42.42%,65.96%,2.71,9/21/2004
"NFG","National Fuel Gas Co",82.97,11.54,10.92,3.34,3.20,19.58%,9.01%,40.86%,28.60%,5.44%,4.31%,3.07,7/25/1955
"NFLX","Netflix Inc",81.72,25.75,21.43,6.98,1.14,49.54%,31.11%,49.53%,27.99%,42.21%,5.98%,1.14,5/23/2002
"NHC","National Healthcare Corp",222.70,25.03,,2.25,1.86,13.08%,12.35%,53.41%,9.04%,,,1.83,1/2/1987
"NRDS","Nerdwallet Inc",9.90,11.13,10.08,0.74,2.62,18.16%,19.64%,93.50%,7.56%,37.81%,11.34%,2.62,11/4/2021
"NRP","Natural Resource Partners LP",112.72,14.38,,7.47,2.12,17.17%,16.06%,75.50%,52.29%,,,2.12,10/11/2002
"NRT","North European Oil Royalty Trust",9.02,8.83,,8.01,1.93,511.49%,497.04%,90.79%,90.68%,,,1.93,11/11/1981
"NTAP","Netapp Inc",187.02,29.42,18.64,5.30,1.41,106.73%,31.57%,70.59%,18.43%,10.96%,11.20%,1.36,11/21/1995
"NTNX","Nutanix Inc",69.16,13.40,25.70,6.55,1.71,37460.21%,68.94%,88.67%,52.81%,13.94%,15.79%,1.68,9/30/2016
"NUTX","Nutex Health Inc",189.25,7.49,6.56,1.53,5.00,57.16%,24.87%,51.26%,21.25%,170.04%,1.87%,4.96,4/24/2014
"NVDA","NVIDIA Corp",217.55,27.50,14.01,17.31,4.59,117.21%,72.42%,74.67%,63.66%,94.43%,67.38%,3.85,1/22/1999
"OGC","OceanaGold Corp",30.07,7.94,8.12,2.72,1.63,37.90%,33.66%,51.61%,35.14%,85.26%,-8.74%,1.24,11/5/2007
"ONC","BeOne Medicines Ltd ADR",366.73,64.45,36.26,6.22,3.40,14.70%,9.50%,86.76%,10.70%,181.52%,36.61%,3.06,2/3/2016
"OPRA","Opera Ltd ADR",19.62,14.09,13.48,2.55,2.05,12.88%,12.47%,42.94%,18.53%,-1.18%,23.81%,2.05,7/27/2018
"OR","OR Royalties Inc",37.40,24.98,28.37,19.21,2.28,20.41%,16.63%,84.49%,78.03%,45.11%,3.23%,2.28,6/26/2014
"OSPN","OneSpan Inc",16.54,9.28,12.68,2.47,1.27,26.51%,24.10%,70.32%,27.76%,-16.51%,4.82%,1.17,5/21/1998
"PAAS","Pan American Silver Corp",52.87,15.92,11.10,5.08,2.94,22.43%,16.95%,43.92%,32.03%,45.43%,28.90%,2.23,6/12/1995
"PATH","UiPath Inc",18.15,29.95,20.13,5.62,2.20,18.18%,16.58%,82.71%,19.58%,8.71%,15.17%,2.20,4/21/2021
"PAYC","Paycom Software Inc",238.53,25.35,17.09,4.93,1.02,41.09%,31.96%,74.35%,22.78%,30.85%,15.47%,1.02,4/15/2014
"PAYP","PayPay Corp ADR",15.28,12.38,14.22,3.96,2.26,49.00%,16.75%,58.55%,31.56%,-27.17%,33.93%,2.26,3/12/2026
"PAYS","PaySign Inc",12.89,50.33,30.69,7.23,1.14,30.82%,24.28%,51.68%,15.67%,165.38%,21.74%,1.14,10/27/2003
"PAYX","Paychex Inc",127.04,25.98,19.82,6.94,1.26,44.77%,21.10%,72.43%,27.03%,8.19%,7.51%,1.26,8/26/1983
"PBYI","Puma Biotechnology Inc",9.06,17.54,,2.02,2.91,21.97%,18.70%,74.83%,11.55%,,,2.64,4/20/2012
"PCTY","Paylocity Holding Corp",157.93,31.95,16.31,4.73,1.05,21.97%,20.06%,68.30%,15.23%,6.26%,9.69%,1.05,3/19/2014
"PD","Pagerduty Inc",13.83,6.92,9.42,2.20,1.95,89.92%,29.05%,84.96%,37.50%,16.86%,8.28%,1.95,4/11/2019
"PDD","PDD Holdings Inc ADR",85.69,9.50,6.96,1.89,2.62,22.94%,20.14%,56.32%,20.73%,-4.29%,19.50%,2.62,7/26/2018
"PEGA","Pegasystems Inc",36.17,20.43,13.68,3.42,1.06,54.69%,52.49%,75.48%,18.66%,16.74%,7.83%,1.06,7/19/1996
"PGY","Pagaya Technologies Ltd",21.98,17.00,9.45,1.38,1.47,26.39%,9.92%,39.76%,9.25%,82.56%,36.98%,1.47,4/21/2021
"PLTR","Palantir Technologies Inc",186.29,159.21,81.64,72.72,7.23,38.42%,30.21%,84.80%,49.00%,112.65%,43.07%,6.91,9/30/2020
"PLX","Protalix BioTherapeutics Inc",2.54,11.19,46.18,2.54,2.94,31.23%,24.00%,69.20%,23.50%,375.00%,-75.00%,1.91,4/9/1996
"PRDO","Perdoceo Education Corp",33.57,12.20,10.79,2.45,4.69,17.55%,16.46%,72.62%,20.63%,21.49%,5.78%,4.68,1/29/1998
"PTC","PTC Inc",157.15,15.19,17.68,5.77,1.02,35.25%,24.48%,82.89%,41.67%,2.22%,8.67%,1.02,12/8/1989
"PVL","Permianville Royalty Trust",1.84,10.51,,7.69,33.48,14.92%,15.91%,80.29%,73.08%,,,33.48,11/3/2011
"QLYS","Qualys Inc",187.05,32.40,22.07,9.17,1.38,38.59%,34.02%,83.56%,29.28%,10.75%,8.23%,1.38,9/28/2012
"QTTB","Q32 Bio Inc",15.03,5.01,,8.33,20.28,72.14%,30.58%,99.34%,62.87%,-160.06%,-22.13%,20.28,3/28/2018
"RACE","Ferrari NV",420.54,39.10,33.09,7.81,2.37,45.76%,28.37%,51.87%,22.25%,6.49%,11.79%,1.81,10/21/2015
