"No.","Ticker","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Performance (3 Years)","Performance (5 Years)","Performance (10 Years)","Volatility (Week)","Volatility (Month)","Average Volume","Relative Volume","Price","Change","Volume"
4207,"SUNC",-1.03%,0.34%,13.25%,30.66%,54.71%,,,,,1.98%,2.64%,461.44,0.00,76.24,0.00%,0
4208,"SUPL",0.63%,1.46%,3.33%,7.25%,20.44%,24.70%,23.37%,,,0.44%,0.39%,0.90,0.00,48.01,0.00%,0
4209,"SURE",-0.05%,1.29%,8.23%,14.67%,19.39%,24.27%,58.95%,58.24%,160.06%,0.19%,0.33%,0.53,0.00,152.13,0.00%,0
4210,"SUSA",-0.25%,3.46%,3.82%,11.90%,13.36%,20.09%,69.70%,57.47%,246.33%,0.49%,0.68%,38.46,0.00,157.96,0.00%,0
4211,"SUSL",1.12%,7.64%,3.82%,13.81%,13.91%,21.55%,77.51%,73.59%,,0.44%,0.66%,23.44,0.62,138.14,0.73%,729
4212,"SVAL",-0.61%,0.67%,8.29%,13.83%,26.30%,27.94%,59.21%,44.34%,,0.46%,0.73%,14.71,0.00,43.36,0.00%,0
4213,"SVCC",0.09%,0.24%,0.95%,2.50%,2.85%,3.80%,,,,0.08%,0.06%,10.35,0.00,10.66,0.00%,0
4214,"SVIV",0.20%,0.69%,1.69%,,1.39%,,,,,0.11%,0.17%,33.90,0.00,10.22,0.00%,0
4215,"SVM",2.87%,42.42%,4.70%,-5.57%,55.91%,177.85%,413.96%,196.20%,327.61%,4.72%,5.00%,3224.85,0.14,13.00,-0.51%,23003
4216,"SVXY",2.08%,12.56%,13.73%,16.73%,12.50%,27.25%,46.26%,116.70%,-12.81%,0.75%,1.23%,1458.06,0.02,62.30,0.24%,1648
4217,"SW",1.75%,-2.44%,24.27%,7.81%,28.16%,7.04%,29.26%,-12.95%,114.55%,2.94%,3.16%,5443.06,0.00,49.56,0.00%,0
4218,"SWAN",-0.50%,1.97%,-0.94%,1.32%,2.97%,6.44%,33.90%,-1.48%,,0.29%,0.72%,9.51,0.00,33.44,0.00%,0
4219,"SWIM",-1.13%,24.73%,29.10%,1.30%,10.39%,-14.72%,94.18%,-68.31%,,3.94%,4.76%,836.05,0.00,7.01,-1.54%,2
4220,"SWP",-0.54%,1.40%,0.06%,-0.99%,3.82%,8.66%,,,,0.38%,0.57%,8.38,0.00,28.84,0.00%,0
4221,"SWZ",0.67%,1.02%,-0.17%,-3.08%,-4.02%,-1.65%,7.96%,-11.56%,-15.52%,0.54%,0.67%,47.03,0.00,5.97,0.00%,0
4222,"SXQG",-0.31%,3.92%,4.88%,6.33%,2.10%,1.31%,40.10%,26.51%,,0.17%,0.38%,4.64,0.00,33.62,0.00%,0
4223,"SXT",2.81%,9.95%,16.27%,41.52%,45.78%,21.42%,127.92%,60.45%,87.39%,2.34%,2.62%,487.54,0.00,136.96,0.00%,0
4224,"SY",0.42%,22.45%,17.07%,-26.38%,-6.25%,-43.79%,96.88%,-57.97%,,5.85%,7.05%,391.08,0.00,2.40,0.00%,0
4225,"SYF",4.00%,6.42%,11.63%,7.84%,-4.37%,5.31%,150.49%,53.57%,197.02%,2.81%,2.32%,3658.57,0.00,79.78,0.00%,440
4226,"SYK",0.24%,-6.74%,6.78%,-14.91%,-6.54%,-16.44%,18.11%,20.14%,187.05%,2.82%,2.77%,2552.49,0.00,328.50,-0.35%,503
4227,"SYLD",0.60%,2.20%,9.59%,13.81%,24.73%,25.21%,40.28%,39.94%,195.29%,0.66%,0.85%,38.71,0.00,86.71,0.00%,0
4228,"SYY",0.53%,-2.13%,9.98%,-6.31%,13.31%,3.99%,19.70%,4.05%,60.21%,1.59%,2.03%,3352.60,0.00,83.50,0.28%,798
4229,"SYZ",-0.31%,0.66%,3.01%,11.80%,20.64%,,,,,0.65%,0.65%,3.11,0.00,30.51,0.00%,0
4230,"SZZL",0.05%,0.63%,1.21%,2.00%,2.90%,3.62%,,,,0.14%,0.12%,56.92,0.00,10.45,0.00%,0
4231,"T",1.91%,7.06%,3.01%,-6.66%,3.18%,-11.80%,81.64%,24.78%,-16.78%,1.51%,2.07%,62277.11,0.01,25.63,-0.93%,38240
4232,"TACH",-0.33%,0.48%,1.06%,1.85%,2.23%,3.35%,,,,0.02%,0.10%,109.30,0.00,10.48,0.00%,0
4233,"TACK",-0.15%,1.95%,4.91%,3.83%,9.58%,13.20%,41.07%,,,0.42%,0.54%,19.59,0.00,32.84,0.00%,0
4234,"TACN",0.62%,3.81%,5.22%,4.30%,15.28%,,,,,0.13%,0.28%,2.39,0.00,29.50,0.00%,0
4235,"TACO",0.29%,0.19%,-0.10%,2.84%,3.55%,1.84%,,,,0.16%,0.22%,72.01,0.00,10.50,0.00%,0
4236,"TACU",-0.18%,3.73%,3.13%,11.10%,12.92%,,,,,0.26%,0.34%,3.09,0.00,28.10,0.00%,0
4237,"TAK",-0.60%,4.05%,12.88%,-2.04%,16.93%,22.51%,19.70%,9.16%,-18.40%,0.94%,1.34%,3300.66,0.00,18.23,0.00%,0
4238,"TAL",-3.55%,11.97%,19.53%,6.37%,7.15%,7.44%,74.22%,137.60%,15.43%,3.52%,3.86%,4239.02,0.00,11.69,0.00%,0
4239,"TALK",,0.77%,0.96%,15.64%,44.63%,107.51%,224.07%,-0.19%,,0.27%,0.38%,1985.50,0.00,5.25,0.00%,0
4240,"TALV",0.08%,2.46%,6.82%,10.91%,17.14%,,,,,0.29%,0.40%,7.41,0.00,29.40,0.00%,0
4241,"TAOZ",-0.17%,4.12%,7.96%,,13.68%,,,,,0.07%,0.10%,1.25,0.00,92.26,0.00%,0
4242,"TAPR",0.14%,0.81%,1.35%,2.89%,3.12%,5.27%,,,,0.01%,0.04%,0.61,0.00,26.75,0.00%,0
4243,"TARK",5.06%,36.52%,13.81%,21.44%,6.89%,-19.58%,71.46%,,,3.02%,3.96%,17.09,0.00,51.89,0.00%,0
4244,"TARS",-3.80%,19.85%,17.63%,-2.75%,-13.72%,20.05%,306.50%,194.99%,,3.07%,4.52%,942.86,0.00,70.65,0.00%,0
4245,"TAVI",0.00%,-1.20%,0.61%,1.76%,2.59%,3.98%,,,,0.17%,1.05%,13.55,0.00,10.70,0.00%,0
4246,"TAWN",,,,,7.18%,,,,,,,0.60,0.00,26.14,0.00%,0
4247,"TAX",-0.14%,3.05%,3.82%,9.28%,11.45%,16.45%,,,,0.13%,0.16%,0.37,0.00,31.66,0.00%,0
4248,"TAXX",0.10%,0.13%,-0.26%,-0.90%,-0.28%,-0.06%,,,,0.06%,0.11%,58.52,0.00,50.58,0.00%,0
4249,"TAYD",4.00%,7.60%,13.23%,-29.38%,2.65%,16.77%,164.13%,409.86%,209.97%,5.07%,4.73%,40.33,0.00,60.01,0.00%,0
4250,"TBBB",0.79%,25.06%,38.10%,34.89%,49.48%,101.01%,,,,3.17%,4.25%,826.67,0.00,49.91,0.00%,0
4251,"TBCH",3.73%,-1.61%,0.79%,5.70%,-8.77%,-17.10%,19.85%,-53.25%,213.73%,3.78%,5.25%,326.12,0.00,12.80,0.00%,0
4252,"TBCVU",0.51%,,,,0.30%,,,,,0.21%,,1326.29,0.00,9.95,0.00%,0
4253,"TBF",-0.16%,1.21%,1.86%,7.11%,4.27%,2.03%,6.75%,54.48%,19.93%,0.58%,0.59%,171.46,0.00,25.15,0.00%,0
