"No.","Ticker","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Performance (3 Years)","Performance (5 Years)","Performance (10 Years)","Volatility (Week)","Volatility (Month)","Average Volume","Relative Volume","Price","Change","Volume"
1,"AA",-2.14%,15.37%,-34.55%,-22.06%,-6.91%,55.57%,75.24%,12.10%,,4.47%,3.83%,5716.06,0.03,49.47,-0.50%,7781
2,"AAAA",-0.26%,2.76%,0.51%,8.38%,12.10%,18.49%,,,,0.23%,0.35%,6.26,0.00,30.65,0.00%,0
3,"AAAC",0.05%,0.20%,0.15%,0.07%,0.30%,,,,,0.00%,0.00%,75.28,0.00,20.11,0.00%,0
4,"AAAP",0.08%,0.32%,,,1.13%,,,,,0.15%,0.08%,63.56,0.00,25.41,0.00%,0
5,"AAAU",1.01%,13.15%,1.73%,-12.00%,5.99%,34.47%,137.74%,149.24%,,1.29%,1.26%,1486.08,0.04,45.10,-0.40%,3262
6,"AAC-U",0.00%,0.89%,,,1.19%,,,,,0.25%,0.42%,493.05,0.00,10.19,0.00%,0
7,"AACB",,0.38%,1.44%,2.41%,2.82%,4.54%,,,,0.13%,0.31%,49.38,0.00,10.59,0.00%,0
8,"AACI",0.40%,0.60%,1.21%,,1.01%,,,,,0.12%,0.13%,43.73,0.00,10.05,0.00%,0
9,"AACO",0.19%,0.49%,1.10%,,0.39%,,,,,0.02%,0.07%,23.66,0.00,9.99,0.00%,0
10,"AACP",0.30%,0.40%,,,1.11%,,,,,0.29%,0.13%,172.89,0.00,10.06,0.00%,0
11,"AADR",0.47%,3.64%,-2.83%,-11.29%,-2.32%,1.31%,63.44%,24.22%,107.52%,0.65%,1.14%,2.84,0.00,84.25,0.00%,0
12,"AAEQ",-0.28%,3.53%,2.21%,10.84%,10.87%,,,,,0.11%,0.22%,0.75,0.00,54.69,0.00%,0
13,"AAMI",5.06%,15.94%,28.39%,69.50%,103.51%,86.89%,351.82%,250.88%,617.02%,2.15%,3.37%,468.34,0.00,95.65,0.00%,0
14,"AAPR",-0.10%,1.03%,0.93%,4.03%,4.84%,7.63%,,,,0.15%,0.17%,3.90,0.00,29.79,0.00%,0
15,"AAUA",-0.62%,3.11%,2.63%,,17.80%,,,,,0.24%,0.12%,5.15,0.00,58.36,0.00%,0
16,"AAUB",-0.45%,3.52%,,,2.71%,,,,,0.16%,0.46%,6.98,0.00,50.82,0.00%,0
17,"AAUC",2.09%,37.40%,-13.91%,-25.50%,2.27%,67.74%,,,,3.35%,4.76%,718.04,0.01,23.40,-0.64%,511
18,"AAUS",-0.26%,3.56%,2.31%,10.52%,11.50%,18.63%,,,,0.03%,0.32%,8.66,0.00,61.44,0.00%,0
19,"AAVM",0.56%,4.61%,0.43%,2.73%,17.81%,24.77%,55.32%,25.40%,,0.05%,0.36%,1.17,0.00,34.78,0.00%,0
20,"AAXJ",1.69%,8.27%,-1.49%,8.38%,25.35%,34.68%,80.14%,35.92%,99.66%,0.96%,1.37%,570.63,0.00,116.73,0.00%,0
21,"AB",2.30%,-0.70%,-0.38%,-7.04%,-4.24%,-7.88%,21.34%,-29.19%,68.26%,1.29%,1.49%,289.95,0.00,36.85,0.00%,2
22,"ABBV",-0.74%,-1.30%,18.87%,15.66%,13.74%,24.91%,77.17%,117.33%,302.24%,1.89%,2.25%,6576.21,0.01,259.89,-1.15%,1811
23,"ABCS",0.39%,1.64%,12.68%,15.64%,19.45%,19.69%,,,,0.30%,0.45%,1.98,0.00,36.34,0.00%,0
24,"ABEQ",0.34%,1.76%,5.72%,-0.47%,9.77%,11.66%,41.28%,41.96%,,0.37%,0.44%,13.38,0.00,39.35,0.00%,0
25,"ABIG",-0.40%,3.10%,4.16%,12.94%,9.87%,13.97%,,,,0.13%,0.27%,2.03,0.00,35.17,0.00%,0
26,"ABLD",0.63%,7.55%,6.08%,-2.01%,13.61%,14.27%,19.84%,,,0.79%,0.85%,9.88,0.00,33.05,0.00%,0
27,"ABLG",0.04%,6.22%,-2.06%,-3.56%,0.64%,6.01%,20.45%,-11.66%,,0.35%,1.13%,2.44,0.00,31.91,0.00%,0
28,"ABNB",0.83%,21.91%,38.69%,36.19%,37.44%,43.66%,48.29%,20.99%,,2.10%,3.08%,4248.91,0.02,186.54,-0.81%,3818
29,"ABOT",-0.48%,5.69%,12.86%,27.73%,11.75%,13.69%,74.54%,50.93%,,0.00%,0.35%,0.35,0.00,43.69,0.00%,0
30,"ABSI",0.32%,34.93%,53.13%,231.32%,166.76%,265.10%,454.17%,-52.98%,,6.96%,7.04%,4982.72,0.01,9.31,0.98%,2230
31,"ABT",-0.84%,4.80%,31.15%,-2.65%,-9.67%,-13.91%,8.61%,-9.16%,163.33%,1.80%,2.10%,11756.25,0.00,113.18,-0.81%,2003
32,"ABUF",-0.11%,1.75%,3.13%,,9.81%,,,,,0.13%,0.15%,5.41,0.00,27.59,0.00%,0
33,"ABUS",4.22%,17.69%,11.85%,12.83%,7.90%,42.19%,155.67%,59.69%,40.65%,3.49%,3.76%,2671.08,0.00,5.19,0.00%,0
34,"ACA",0.18%,0.55%,14.57%,14.24%,37.00%,46.92%,90.38%,178.88%,,0.24%,0.30%,736.07,0.01,145.66,0.28%,545
35,"ACAA",0.30%,0.20%,0.91%,,-0.30%,,,,,0.06%,0.02%,26.88,0.00,10.02,0.00%,0
36,"ACAD",1.96%,12.41%,36.89%,20.17%,10.86%,11.44%,3.53%,73.06%,-9.89%,3.08%,3.44%,1618.51,0.00,29.61,0.10%,301
37,"ACCL",-2.25%,31.16%,93.15%,94.48%,4.06%,,,,,4.50%,5.61%,444.20,0.00,2.82,0.00%,0
38,"ACEP",0.47%,5.38%,6.39%,15.22%,28.38%,,,,,0.43%,0.32%,2.53,0.00,20.92,0.00%,0
39,"ACFN",10.01%,9.90%,24.93%,14.43%,39.74%,-25.56%,266.32%,144.21%,624.59%,8.94%,7.34%,26.57,0.00,21.10,0.00%,0
40,"ACGC",0.10%,0.50%,,,0.70%,,,,,0.00%,0.11%,129.66,0.00,10.01,0.00%,0
41,"ACGL",1.28%,-3.79%,10.93%,0.94%,4.86%,9.68%,41.75%,153.36%,300.37%,1.40%,1.90%,2007.88,0.00,100.58,-0.14%,489
42,"ACGO",-0.47%,5.40%,,,-3.64%,,,,,0.03%,0.03%,13.12,0.00,37.99,0.00%,0
43,"ACGR",-0.58%,5.08%,-1.34%,8.17%,4.59%,10.23%,68.08%,62.81%,,0.20%,0.22%,0.31,0.00,69.07,0.00%,0
44,"ACHR",-1.97%,33.26%,-12.33%,-19.11%,-20.61%,-34.75%,3.29%,-40.24%,,5.54%,7.71%,40803.93,0.01,5.97,1.19%,22021
45,"ACHX",-17.47%,37.24%,,,32.56%,,,,,1.77%,3.18%,0.69,0.00,33.76,0.00%,0
46,"ACIO",-0.40%,2.74%,0.41%,6.79%,7.23%,10.41%,51.02%,52.78%,,0.44%,0.64%,138.87,0.00,46.86,0.00%,0
47,"ACLC",0.28%,4.10%,2.87%,8.93%,10.28%,14.82%,57.41%,52.59%,,0.45%,0.58%,12.10,0.00,86.40,0.00%,0
48,"ACLO",0.12%,0.00%,0.02%,-0.02%,0.43%,0.09%,,,,0.04%,0.06%,42.14,0.00,50.49,0.00%,0
49,"ACNB",1.72%,-0.37%,19.33%,26.87%,34.27%,39.46%,92.63%,124.09%,139.72%,2.06%,1.97%,73.41,0.00,64.32,0.00%,0
50,"ACNT",0.65%,-0.26%,10.28%,-10.43%,-4.57%,28.75%,72.43%,35.65%,115.18%,2.66%,2.80%,70.38,0.00,15.45,0.00%,0
51,"ACOM",-0.43%,8.74%,,,14.93%,,,,,0.84%,0.87%,5.52,0.00,23.20,0.00%,0
52,"ACSG",-1.07%,2.92%,4.95%,16.21%,21.14%,,,,,1.48%,0.68%,6.29,0.00,49.47,0.00%,0
53,"ACSI",0.44%,0.92%,6.72%,15.66%,16.46%,18.07%,70.80%,52.15%,,0.09%,0.19%,0.29,0.00,77.68,0.00%,0
54,"ACSV",-0.49%,0.13%,6.84%,13.79%,23.05%,,,,,0.10%,0.31%,2.90,0.00,50.12,0.00%,0
55,"ACT",-1.01%,2.58%,15.44%,16.23%,24.14%,29.06%,74.58%,,,1.39%,1.88%,350.22,0.00,49.21,0.00%,0
56,"ACU",2.00%,4.58%,49.75%,36.97%,54.50%,50.91%,99.68%,60.97%,204.10%,3.80%,3.86%,25.38,0.00,62.28,0.00%,0
57,"ACVF",-0.20%,3.79%,3.94%,10.31%,12.68%,14.82%,64.12%,67.90%,,0.34%,0.56%,5.25,0.00,55.65,0.00%,0
58,"ACVT",0.56%,2.36%,4.21%,7.70%,7.57%,8.28%,,,,0.12%,0.09%,3.82,0.00,28.79,0.00%,0
59,"ACVU",-0.03%,2.16%,6.35%,12.79%,18.12%,25.10%,,,,0.52%,0.51%,7.61,0.00,32.37,0.00%,0
60,"ACWI",1.00%,5.97%,2.10%,9.21%,14.19%,20.86%,71.01%,55.49%,175.95%,0.50%,0.81%,2925.04,0.00,161.57,0.42%,265
61,"ACWV",0.79%,2.00%,4.36%,2.66%,7.31%,6.94%,31.38%,19.80%,67.06%,0.46%,0.56%,102.93,0.00,127.43,0.00%,1
62,"ACWX",1.46%,7.19%,2.59%,5.09%,16.83%,24.89%,63.46%,37.37%,92.01%,0.55%,0.80%,1754.52,0.01,78.43,0.68%,1057
63,"ACYN",0.29%,1.02%,-0.43%,3.15%,3.28%,,,,,0.34%,0.40%,1757.78,0.00,20.78,0.00%,0
64,"ACYQ",-0.03%,6.13%,,,3.66%,,,,,0.63%,0.91%,74.45,0.00,20.94,0.00%,0
65,"ACYS",0.39%,0.88%,0.88%,,2.39%,,,,,0.65%,0.69%,350.18,0.00,20.60,0.00%,0
66,"AD",1.05%,1.89%,-11.22%,-8.05%,1.45%,0.49%,97.87%,149.60%,109.34%,2.22%,2.39%,355.01,0.00,35.66,0.00%,0
67,"ADAC",-0.40%,-0.20%,0.60%,1.52%,1.01%,,,,,0.22%,0.22%,17.70,0.00,10.05,0.00%,0
68,"ADBU",2.66%,7.21%,18.51%,,16.89%,,,,,2.60%,6.88%,56.27,0.04,28.83,1.35%,100
69,"ADIV",1.01%,3.22%,4.77%,3.49%,10.51%,10.21%,51.34%,21.92%,,0.51%,0.48%,5.65,0.00,20.03,0.00%,0
70,"ADME",-0.43%,2.59%,0.43%,7.48%,9.65%,13.52%,55.95%,37.62%,121.97%,0.30%,0.53%,14.73,0.00,56.26,0.00%,0
71,"ADP",-0.30%,1.83%,26.62%,27.49%,8.22%,-8.15%,10.01%,33.22%,210.03%,1.57%,2.48%,2589.90,0.02,278.38,-1.07%,2968
72,"ADPT",4.76%,18.13%,75.44%,61.91%,64.10%,105.47%,332.63%,-24.05%,,4.19%,5.16%,2945.53,0.00,26.65,1.87%,124
73,"ADSK",2.60%,5.02%,6.89%,10.32%,-12.99%,-9.93%,19.28%,-18.40%,273.97%,2.92%,3.48%,2595.57,0.06,257.55,1.09%,7467
74,"ADUR",-0.33%,24.69%,-6.35%,33.54%,52.49%,35.72%,616.95%,649.68%,,5.11%,6.14%,546.31,0.02,15.80,2.38%,681
75,"ADUS",0.57%,1.25%,28.39%,12.18%,12.40%,5.75%,35.07%,35.45%,425.74%,1.97%,2.72%,233.73,0.00,120.71,0.00%,0
76,"ADVE",1.43%,3.52%,0.43%,1.79%,18.85%,25.89%,,,,0.00%,0.22%,1.16,0.00,46.54,0.00%,0
77,"ADX",-0.73%,2.42%,2.55%,10.70%,10.51%,18.92%,61.53%,63.07%,276.69%,0.78%,1.06%,284.43,0.00,25.77,0.00%,0
78,"AEAQ",0.15%,0.90%,1.20%,1.92%,1.61%,,,,,0.09%,0.04%,40.69,0.00,10.10,0.00%,0
79,"AEF",3.80%,13.54%,-2.94%,7.54%,36.57%,54.44%,89.31%,11.81%,79.91%,1.65%,2.23%,139.49,0.00,9.56,0.00%,0
80,"AEG",1.33%,1.22%,8.30%,19.04%,18.42%,16.90%,78.67%,84.44%,137.76%,1.10%,1.12%,4902.38,0.00,9.13,-0.87%,39
81,"AEHR",-7.91%,49.22%,-2.40%,145.20%,383.36%,301.60%,135.16%,1197.74%,4356.16%,7.14%,12.24%,2478.66,0.35,97.59,7.10%,42792
82,"AEM",0.22%,47.13%,19.40%,-13.76%,25.35%,52.33%,349.17%,262.81%,305.38%,3.90%,3.63%,3046.05,0.03,212.50,-0.72%,4294
83,"AER",2.58%,1.31%,8.35%,0.15%,4.74%,22.49%,148.52%,168.37%,286.10%,1.67%,2.28%,1136.38,0.00,150.58,0.50%,3
84,"AESP",0.73%,0.93%,,,1.34%,,,,,0.06%,0.06%,161.88,0.00,10.01,0.43%,11
85,"AFG",0.80%,0.90%,9.70%,8.59%,7.19%,9.19%,40.19%,46.22%,245.52%,1.29%,1.72%,462.63,0.00,144.80,-0.12%,3
86,"AFGR",-0.06%,3.92%,0.91%,10.85%,4.54%,6.50%,76.84%,33.32%,,0.31%,0.47%,6.16,0.00,37.04,0.00%,0
87,"AFK",3.12%,16.29%,8.50%,-2.52%,11.21%,32.58%,102.79%,38.31%,44.63%,1.61%,1.83%,63.91,0.00,29.75,0.00%,0
88,"AFLG",0.00%,2.49%,2.49%,9.63%,14.71%,19.16%,79.03%,69.56%,,0.49%,0.70%,66.23,0.00,44.85,0.00%,0
89,"AFMC",0.17%,1.10%,3.71%,10.16%,19.89%,23.30%,69.00%,60.20%,,0.81%,0.99%,30.92,0.00,41.33,0.00%,0
90,"AFOS",-0.49%,7.87%,3.59%,17.12%,33.86%,63.94%,,,,1.20%,1.26%,10.43,0.00,46.02,0.00%,0
91,"AFRM",3.18%,10.46%,6.08%,53.59%,4.04%,-0.19%,335.30%,14.05%,,2.97%,4.53%,3837.24,0.02,77.44,1.28%,3947
92,"AFSM",-0.59%,1.79%,5.61%,15.89%,23.47%,26.06%,66.31%,55.47%,,0.59%,0.89%,17.35,0.00,40.60,0.00%,0
93,"AG",-1.84%,36.66%,1.07%,-33.12%,24.85%,129.07%,250.76%,61.99%,57.70%,4.67%,4.65%,11039.68,0.07,20.80,-0.91%,41278
94,"AGD",-0.96%,2.74%,-0.64%,-1.38%,6.00%,5.37%,34.79%,0.16%,39.66%,0.91%,1.17%,111.74,0.00,12.36,0.00%,0
95,"AGEM",2.54%,8.18%,0.85%,8.19%,28.94%,40.16%,,,,0.61%,1.27%,16.70,0.00,49.49,0.00%,0
96,"AGI",2.37%,31.42%,-4.96%,-28.39%,-2.64%,26.38%,210.67%,370.68%,390.98%,3.36%,3.48%,4829.85,0.01,37.56,0.03%,2901
97,"AGIQ",-0.89%,7.65%,3.84%,14.48%,9.45%,,,,,1.10%,1.29%,6.38,0.00,24.88,0.00%,0
98,"AGIX",1.81%,13.55%,-3.66%,29.00%,25.36%,38.04%,,,,1.30%,2.11%,307.80,0.01,45.51,1.63%,105
99,"AGM",-3.87%,2.59%,22.65%,36.30%,24.25%,5.89%,30.68%,127.75%,442.10%,2.87%,3.12%,128.80,0.00,218.14,0.00%,0
100,"AGMB",5.36%,14.11%,22.62%,-11.62%,-3.74%,,,,,6.09%,7.53%,104.43,0.01,14.15,-0.91%,68
101,"AGMI",4.76%,32.69%,15.54%,-7.03%,23.28%,92.17%,,,,0.60%,1.29%,1.59,0.00,79.76,0.00%,0
102,"AGNG",-1.03%,2.86%,9.86%,0.98%,8.10%,16.72%,43.77%,26.85%,138.09%,0.81%,0.82%,13.89,0.00,38.80,0.00%,0
103,"AGQ",-0.54%,39.13%,-23.84%,-49.95%,-43.80%,63.20%,191.86%,126.80%,89.73%,4.57%,4.57%,2566.73,0.54,87.18,0.06%,69911
104,"AGQI",0.86%,4.40%,4.90%,2.91%,14.48%,20.00%,,,,0.30%,0.30%,3.69,0.00,18.89,0.00%,0
105,"AGRO",1.28%,14.11%,-12.27%,25.48%,39.72%,31.59%,-2.12%,17.87%,16.63%,5.05%,4.57%,853.17,0.01,11.08,0.00%,401
106,"AGRW",-0.23%,4.47%,0.58%,11.04%,7.18%,10.96%,,,,0.13%,0.44%,1.20,0.00,32.37,0.00%,0
107,"AGYS",-1.80%,3.53%,44.40%,61.42%,-3.56%,5.88%,66.58%,108.19%,978.17%,2.87%,3.93%,331.67,0.00,114.61,0.00%,0
108,"AHD",0.71%,4.58%,6.40%,,7.04%,,,,,1.04%,0.74%,2.47,0.00,26.69,0.00%,0
109,"AHLT",-0.04%,0.71%,-0.84%,-0.30%,10.15%,29.50%,,,,1.20%,1.04%,66.66,0.00,29.01,0.00%,0
110,"AHR",2.49%,-0.63%,15.57%,7.46%,21.46%,33.77%,,,,2.06%,2.36%,3342.66,0.00,57.16,0.00%,2
111,"AHYB",0.15%,0.64%,-0.54%,-1.65%,-1.39%,-1.33%,5.57%,,,0.11%,0.18%,2.51,0.00,46.10,0.00%,0
112,"AIA",1.12%,8.57%,-2.28%,16.61%,42.20%,63.36%,144.62%,73.89%,196.61%,1.03%,1.66%,473.60,0.00,138.66,0.00%,0
113,"AIBU",-0.31%,18.95%,-2.80%,50.40%,28.10%,40.26%,,,,0.85%,2.99%,11.75,0.00,63.25,0.00%,0
114,"AIEQ",0.39%,2.49%,2.22%,9.93%,12.36%,15.30%,65.87%,22.31%,,0.53%,0.70%,4.24,0.00,50.72,0.00%,0
115,"AIHY",0.78%,10.57%,,,4.71%,,,,,1.69%,1.57%,8.14,0.00,20.96,0.00%,0
116,"AII",6.26%,33.73%,63.61%,37.39%,37.65%,47.27%,,,,4.12%,4.03%,148.75,0.00,27.16,1.99%,20
117,"AIIA",0.10%,0.59%,0.89%,2.00%,2.82%,,,,,0.06%,0.18%,14.56,0.00,10.22,0.00%,0
118,"AINT",-1.46%,10.07%,-0.30%,21.82%,16.13%,,,,,1.71%,1.46%,2.81,0.00,29.87,0.00%,0
119,"AIOO",-0.11%,0.54%,0.67%,2.52%,2.89%,4.79%,,,,0.33%,0.27%,14.14,0.00,26.44,0.00%,0
120,"AIQ",2.00%,14.85%,-3.09%,27.26%,26.41%,42.84%,133.62%,104.52%,,1.10%,1.83%,2383.45,0.02,64.29,1.94%,2031
121,"AIQU",-2.18%,31.41%,,,-32.71%,,,,,3.62%,6.01%,11.71,0.00,16.71,0.00%,0
122,"AIR",-0.42%,-1.58%,22.83%,18.38%,67.39%,80.47%,129.17%,318.67%,467.02%,3.54%,4.15%,454.91,0.00,138.58,0.00%,0
123,"AIRT",9.96%,13.37%,48.74%,35.34%,61.20%,36.00%,48.71%,-9.15%,115.82%,6.39%,6.48%,10.16,0.00,30.79,0.00%,0
124,"AIT",-1.08%,-1.61%,9.53%,21.97%,33.36%,28.26%,122.39%,286.76%,623.52%,2.05%,2.44%,277.67,0.00,342.44,0.00%,0
125,"AIUP",0.27%,12.35%,8.16%,22.56%,21.42%,,,,,1.75%,1.48%,1.48,0.00,29.79,0.00%,0
126,"AIVC",0.49%,13.87%,2.85%,50.00%,63.68%,99.02%,214.72%,112.37%,298.74%,1.01%,2.04%,23.25,0.00,110.99,0.00%,0
127,"AIVI",0.81%,4.76%,4.82%,3.45%,16.31%,20.01%,58.75%,41.05%,55.20%,0.30%,0.37%,2.29,0.00,60.46,0.00%,0
128,"AIVL",0.18%,0.81%,6.74%,10.54%,17.59%,18.40%,45.51%,38.75%,72.89%,0.35%,0.42%,3.89,0.00,135.20,0.00%,0
129,"AIZ",2.31%,2.67%,16.62%,25.75%,19.79%,33.48%,107.97%,70.35%,229.01%,1.75%,2.30%,398.46,0.00,288.51,0.00%,14
130,"AJAN",0.10%,0.88%,0.93%,1.94%,2.80%,4.69%,,,,0.13%,0.11%,2.52,0.00,28.63,0.00%,0
131,"AJG",2.94%,-0.11%,30.65%,21.50%,2.41%,-11.72%,16.45%,85.67%,440.66%,2.95%,3.32%,1612.55,0.00,265.03,0.00%,0
132,"AJUL",-0.05%,1.17%,1.37%,3.50%,4.40%,7.03%,,,,0.19%,0.22%,29.46,0.00,30.35,0.00%,0
133,"AKAF",-0.12%,4.72%,3.31%,2.57%,15.48%,22.41%,,,,0.00%,0.03%,0.04,0.00,33.61,0.00%,0
134,"AKO-A",1.83%,6.74%,6.05%,-7.04%,5.36%,24.94%,106.20%,113.59%,22.45%,3.76%,2.10%,1.16,0.00,24.55,0.00%,0
135,"AKRE",0.08%,4.44%,12.17%,8.81%,-7.42%,,,,,1.20%,1.88%,670.41,0.00,60.65,0.00%,0
136,"AKTS",5.96%,15.41%,33.08%,35.95%,-1.81%,,,,,6.76%,5.74%,379.69,0.00,26.51,0.00%,0
137,"ALAI",0.26%,7.70%,-0.24%,26.07%,23.27%,33.75%,,,,1.16%,1.70%,89.23,0.00,44.51,0.00%,0
138,"ALCO",2.26%,6.47%,-2.58%,-2.32%,12.15%,19.44%,70.78%,9.88%,44.68%,1.91%,2.30%,20.96,0.00,40.80,0.00%,0
139,"ALDB",-0.11%,1.93%,2.05%,,2.68%,,,,,0.22%,0.28%,8.05,0.00,25.71,0.00%,0
140,"ALDF",0.09%,0.28%,1.13%,2.09%,2.67%,3.26%,,,,0.00%,0.07%,37.10,0.00,10.77,0.00%,0
141,"ALF",0.18%,0.18%,0.00%,0.93%,1.97%,3.23%,,,,0.04%,0.04%,75.22,0.00,10.86,0.00%,0
142,"ALIS",0.00%,0.49%,1.29%,2.30%,2.82%,,,,,0.14%,0.11%,31.37,0.00,10.21,0.00%,0
143,"ALL",2.33%,-5.08%,25.66%,22.42%,25.13%,27.80%,147.73%,89.41%,281.24%,1.66%,2.25%,1758.32,0.00,260.46,-0.52%,149
144,"ALLE",-1.52%,-0.59%,22.15%,2.99%,0.67%,-6.56%,45.92%,14.45%,123.92%,2.02%,2.24%,1225.39,0.00,160.28,0.00%,0
145,"ALLW",0.60%,3.89%,1.30%,1.37%,10.33%,14.03%,,,,0.48%,0.64%,533.83,0.00,30.33,0.00%,0
146,"ALM",1.58%,64.11%,-13.19%,0.73%,103.97%,326.84%,3094.67%,1481.60%,4437.88%,6.84%,7.89%,6392.66,0.19,17.97,-1.48%,61042
147,"ALMR",-4.11%,37.92%,78.24%,,50.80%,,,,,6.20%,8.62%,323.02,0.00,34.08,0.00%,0
148,"ALNT",-4.08%,20.77%,27.86%,42.07%,77.44%,101.80%,187.79%,176.28%,592.77%,4.56%,5.57%,286.55,0.01,95.37,2.50%,147
149,"ALOV",0.00%,0.60%,0.50%,,1.01%,,,,,0.14%,0.14%,20.89,0.00,10.00,0.00%,0
150,"ALPX",0.51%,0.81%,,,-0.50%,,,,,0.14%,0.13%,117.72,0.00,9.95,0.00%,0
151,"ALRG",-0.36%,2.99%,3.65%,13.77%,12.92%,20.31%,,,,0.19%,0.09%,0.42,0.00,31.18,0.00%,0
152,"ALRS",1.07%,-0.04%,13.97%,32.28%,46.26%,46.58%,76.61%,8.88%,90.94%,1.44%,3.03%,226.26,0.00,32.94,-0.88%,5
153,"ALSN",-0.22%,12.36%,13.49%,3.22%,31.59%,44.43%,119.55%,242.00%,363.75%,3.63%,3.60%,1093.43,0.08,128.83,0.04%,4281
154,"ALTY",0.12%,0.07%,0.03%,-0.75%,3.93%,5.35%,12.21%,-9.16%,-19.45%,0.49%,0.49%,18.94,0.00,12.40,0.00%,0
155,"ALUB",-0.39%,0.15%,1.00%,0.80%,1.30%,,,,,0.00%,0.10%,86.19,0.00,10.11,0.00%,0
156,"ALV",0.99%,-1.51%,-4.69%,1.76%,3.53%,-0.90%,30.78%,36.94%,60.65%,1.72%,1.88%,690.27,0.00,122.89,-0.52%,52
157,"ALX",-0.57%,2.24%,9.33%,12.22%,24.73%,17.86%,44.95%,2.15%,-37.76%,2.06%,2.46%,33.59,0.00,271.84,0.00%,0
158,"AM",0.76%,3.86%,6.01%,1.39%,26.98%,27.12%,89.20%,144.48%,,2.80%,2.49%,2359.21,0.00,22.59,0.00%,0
159,"AMAA",-4.27%,22.95%,,,19.40%,,,,,0.90%,2.05%,1.86,0.00,31.33,0.00%,0
160,"AMAL",-0.82%,-2.49%,17.54%,21.78%,51.89%,63.86%,179.76%,218.60%,,1.48%,1.71%,157.82,0.00,48.65,0.00%,0
161,"AMAN",-0.14%,5.42%,5.42%,,5.42%,,,,,1.64%,1.23%,84.07,0.00,10.70,0.00%,0
162,"AME",3.32%,5.00%,9.56%,4.24%,20.31%,32.41%,56.74%,80.51%,397.40%,1.83%,2.17%,1220.96,0.01,247.01,0.74%,357
163,"AMEI",-0.30%,1.21%,,,2.74%,,,,,0.54%,0.65%,5.74,0.00,26.38,0.00%,0
164,"AMEM",1.14%,7.56%,,,1.30%,,,,,0.23%,6.22%,4.60,0.00,25.27,0.00%,0
165,"AMG",4.27%,0.13%,20.35%,18.54%,28.55%,63.75%,181.88%,120.08%,160.08%,2.90%,3.05%,304.60,0.00,370.59,0.00%,0
166,"AMGN",0.09%,11.99%,29.02%,14.44%,32.63%,50.75%,69.32%,94.86%,152.43%,1.94%,2.64%,2699.67,0.05,434.11,-1.41%,6318
167,"AMGR",-0.75%,2.74%,,,0.17%,,,,,0.46%,1.11%,10.01,0.00,25.25,0.00%,0
168,"AMID",-0.05%,2.57%,6.08%,5.43%,9.81%,6.55%,38.80%,,,0.45%,0.57%,7.65,0.00,36.82,0.00%,0
169,"AMJB",0.96%,3.92%,5.75%,11.28%,26.68%,23.22%,,,,1.65%,1.60%,30.87,0.00,37.89,0.00%,0
170,"AMLP",1.06%,1.24%,5.30%,8.08%,17.99%,15.39%,36.15%,74.03%,-11.52%,1.20%,1.23%,1360.74,0.00,55.48,0.00%,0
171,"AMP",0.09%,2.50%,26.43%,17.15%,14.26%,8.39%,67.68%,107.50%,469.74%,2.13%,1.79%,616.93,0.00,560.28,0.00%,0
172,"AMRX",-0.66%,-4.10%,40.77%,23.39%,42.78%,91.79%,360.10%,247.30%,-24.85%,1.77%,3.45%,1999.69,0.00,17.99,0.00%,0
173,"AMUB",0.69%,3.71%,5.54%,10.48%,25.81%,23.06%,59.20%,117.72%,45.28%,0.17%,0.39%,2.38,0.00,23.77,0.00%,0
174,"AMZA",1.36%,4.62%,8.96%,14.18%,28.60%,19.08%,50.68%,102.35%,-55.78%,1.62%,1.70%,36.05,0.00,50.81,0.00%,0
175,"AMZN",-0.24%,14.48%,-5.30%,24.80%,12.42%,13.25%,94.72%,54.93%,574.85%,1.59%,2.41%,49080.95,0.10,259.48,-0.31%,250165
176,"AMZU",-0.55%,27.11%,-16.50%,37.54%,7.98%,0.94%,68.43%,,,3.11%,4.75%,3106.86,0.15,37.74,-0.42%,23679
177,"AMZZ",-0.88%,27.54%,-15.79%,40.90%,11.22%,6.94%,,,,2.92%,4.53%,161.07,0.28,35.00,-0.67%,2278
178,"ANDG",18.01%,14.14%,41.91%,144.95%,104.90%,,,,,5.14%,4.75%,436.89,0.00,53.13,0.00%,0
179,"ANEL",24.48%,63.51%,54.11%,92.77%,78.14%,,,,,5.95%,8.70%,159.32,0.02,28.85,3.98%,130
180,"ANET",12.06%,30.35%,32.61%,58.09%,57.15%,54.51%,355.30%,783.59%,4070.86%,3.54%,4.76%,8012.68,0.04,205.91,1.81%,17653
181,"ANEW",0.54%,6.17%,7.26%,11.32%,8.96%,7.33%,54.41%,16.79%,,0.05%,0.05%,0.19,0.00,54.73,0.00%,0
182,"ANF",38.91%,42.34%,77.51%,47.37%,15.90%,52.98%,190.83%,291.52%,544.92%,6.90%,4.95%,1484.41,0.08,145.88,-1.27%,5875
183,"ANGL",0.10%,0.62%,-0.07%,-2.05%,-0.90%,-0.92%,6.57%,-11.63%,2.37%,0.22%,0.25%,686.04,0.00,29.10,0.00%,0
184,"ANGO",-2.36%,9.41%,32.52%,37.15%,22.20%,60.27%,88.13%,-43.11%,-5.25%,2.31%,3.00%,441.04,0.00,15.69,0.00%,0
